threshold,precision,recall,f1
0.05,0.12921693084584093,0.9876369484370289,0.2285337726523888
0.1,0.14244054304348683,0.9688075853519617,0.24836483416433686
0.15,0.1573752228163993,0.9465607933795691,0.26988016258531666
0.2,0.17471984576454994,0.923040841625624,0.2938227891301566
0.25,0.19552776060793367,0.9008610580627869,0.3213154718514358
0.3,0.21939891629926295,0.8736556437832949,0.3507219281905056
0.35,0.24859397007692535,0.8456126243843602,0.3842312786396091
0.4,0.28365379009596214,0.8150567896270982,0.4208459475823891
0.45,0.3274819500886785,0.7856736020370556,0.4622784710312062
0.5,0.3807755565729013,0.7524039266928,0.5056516256867513
0.55,0.4452861602497399,0.7168559654236607,0.5493407961795704
0.6,0.5225952393193152,0.6811404831306329,0.5914267843895912
0.65,0.6028645015390414,0.6430797065031661,0.6223230931344735
0.7,0.68497643732328,0.6087378966060241,0.6446107996877883
0.75,0.7472426871267274,0.5742955740945489,0.6494525063463797
0.8,0.7875847271663334,0.5411264113646262,0.6414981927950112
0.85,0.8279834919179182,0.48396823801387073,0.6108726450003172
0.9,0.9196461035026058,0.25422990585318456,0.3983411202687805
0.95,0.0,0.0,0.0
