threshold,precision,recall,f1
0.05,0.1285717424259068,0.9855838862878508,0.22746954608705117
0.1,0.1413105525264256,0.9672269190609316,0.2465940463973963
0.15,0.15610042871325017,0.9480278891171815,0.26806224880473906
0.2,0.17310125586226432,0.926201623496918,0.2916878818737271
0.25,0.1929149433555116,0.9033648826164573,0.31793449269177426
0.3,0.2160774424739121,0.8773956684293847,0.34675825163235563
0.35,0.24360916767189386,0.8502812489474216,0.37871491366248106
0.4,0.2770939453413049,0.8226952743440331,0.41455921789605893
0.45,0.3181210590983352,0.7935935868503486,0.45417919654560873
0.5,0.3665152498377677,0.7609552359459733,0.49473880147598237
0.55,0.42903341004682166,0.7283842500589444,0.5399972531931629
0.6,0.5014311226362013,0.6903903802755229,0.5809313267012441
0.65,0.5858181818181818,0.6511502576711914,0.6167589210228269
0.7,0.6730202035098068,0.6148741958301054,0.6426346082762747
0.75,0.7400267969053896,0.5767119135033177,0.6482413962821337
0.8,0.7855817133925955,0.5417494695004884,0.6412694615553297
0.85,0.8269520826081912,0.4801441611371215,0.607539369659258
0.9,0.9174458661417323,0.2511704671763953,0.3943729010762355
0.95,0.0,0.0,0.0
